;MELHOR GLOBAL;MELHOR LOCAL
87;27879.251830962738;27879.251830962738
88;27607.514526029092;27607.514526029092
89;27834.438820727315;27834.438820727315
90;27634.779492379086;27634.779492379086
91;28298.669146748325;28298.669146748325
92;28428.549697598657;28428.549697598657
93;30390.117492459147;30390.117492459147
94;30575.05284014494;30575.05284014494
95;29639.624691440884;29639.624691440884
96;29210.961879421975;29210.961879421975
97;29803.105725572455;29803.105725572455
98;26608.084944567887;26608.084944567887
99;26859.699406261403;26859.699406261403
100;26831.780992049997;26831.780992049997
101;26820.844615978374;26820.844615978374
102;26115.63686465738;26115.63686465738
103;26475.180182139917;26475.180182139917
104;26252.328874920193;26252.328874920193
105;27221.295444629442;27221.295444629442
106;26494.151925487786;26494.151925487786
107;26255.035049602975;26255.035049602975
108;25665.16401395813;25665.16401395813
109;24482.699909273022;24482.699909273022
110;24338.63199249995;24338.63199249995
111;24360.7711454446;24360.7711454446
112;24521.6249733615;24521.6249733615
113;24480.796346452276;24480.796346452276
114;24381.66536477072;24381.66536477072
115;25007.00539211033;25007.00539211033
116;23821.581336378604;23821.581336378604
117;23838.12102917926;23838.12102917926
118;24119.823108713696;24119.823108713696
119;23103.20800351606;23103.20800351606
120;24340.368693752454;24340.368693752454
121;24583.866083293004;24583.866083293004
122;25182.815167645917;25182.815167645917
123;24975.992036651605;24975.992036651605
124;26281.76562621442;26281.76562621442
125;26188.33478805478;26188.33478805478
126;26141.77392026926;26141.77392026926
127;26150.60792549888;26150.60792549888
128;26217.376960496593;26217.376960496593
129;26802.673750614;26802.673750614
130;26860.076722003996;26860.076722003996
131;26482.038751009717;26482.038751009717
132;26791.444881992298;26791.444881992298
133;25829.52454501034;25829.52454501034
134;26620.666502756954;26620.666502756954
135;27342.116893767234;27342.116893767234
136;27491.765384832877;27491.765384832877
137;27477.557413343784;27477.557413343784
138;27230.033763454376;27230.033763454376
139;27178.593246212287;27178.593246212287
140;25505.722298984612;25505.722298984612
141;25755.407838369494;25755.407838369494
142;26831.08558970208;26831.08558970208
143;29345.68770377309;29345.68770377309
144;30295.43413096157;30295.43413096157
145;29618.755661935567;29618.755661935567
146;29648.772154784136;29648.772154784136
147;29704.524236445337;29704.524236445337
148;30792.720003812497;30792.720003812497
149;30635.59483441898;30635.59483441898
150;30203.146914749912;30203.146914749912
151;30169.189766088013;30169.189766088013
152;28976.906500527628;28976.906500527628
153;29090.197427263058;29090.197427263058
154;28111.71471435814;28111.71471435814
155;29787.185187478022;29787.185187478022
156;29959.747721373617;29959.747721373617
157;29820.573283875685;29820.573283875685
158;28870.552378913682;28870.552378913682
159;28818.562123216598;28818.562123216598
160;27464.843402877905;27464.843402877905
161;28651.517516719236;28651.517516719236
162;28070.518291254608;28070.518291254608
163;27962.98996975242;27962.98996975242
164;27845.17746227673;27845.17746227673
165;27496.57711541127;27496.57711541127
166;27001.742221458193;27001.742221458193
167;27644.849262390988;27644.849262390988
168;27575.696332447475;27575.696332447475
169;27489.71215886481;27489.71215886481
170;27647.648192374316;27647.648192374316
171;26834.511378115443;26834.511378115443
172;26808.44799171074;26808.44799171074
173;27405.77972166427;27405.77972166427
174;27355.050693513367;27355.050693513367
175;27627.626641712704;27627.626641712704
176;28469.06457526079;28469.06457526079
177;27855.70178319517;27855.70178319517
178;27809.760985613397;27809.760985613397
179;27734.123204964188;27734.123204964188
180;27619.255487728;27619.255487728
181;27439.91192314656;27439.91192314656
182;27419.212774231146;27419.212774231146
183;26607.35513241671;26607.35513241671
184;26215.65801965527;26215.65801965527
185;25764.761760789046;25764.761760789046
186;24914.062355457867;24914.062355457867
187;25313.410742469732;25313.410742469732
188;25292.035676340394;25292.035676340394
189;25096.6263370166;25096.6263370166
190;25722.234445398124;25722.234445398124
191;26020.054270803867;26020.054270803867
192;26293.47016628859;26293.47016628859
193;26356.88664256225;26356.88664256225
194;26540.946293705936;26540.946293705936
195;26768.116681317562;26768.116681317562
196;27257.212066674343;27257.212066674343
197;27297.27466767037;27297.27466767037
198;28093.690176393615;28093.690176393615
199;27964.883068848747;27964.883068848747
200;28062.108193156342;28062.108193156342
201;28035.95230028361;28035.95230028361
202;27769.007132423856;27769.007132423856
203;25549.222081712327;25549.222081712327
204;25771.93216769081;25771.93216769081
205;25075.41201430195;25075.41201430195
