;MELHOR GLOBAL;MELHOR LOCAL;CAMINHO
0;;11582.70800431366;
1;11582.70800431366;10167.817122511382;29-30-2-42-7-17-18-31-22-1-49-35-36-34-44-46-28-27-11-51-33-9-10-41-3-32-39-38-5-25-47-26-16-20-50-21-23-37-24-48-40-45-19-8-43-15-6-4-12-13-52-14-
2;10167.817122511382;10375.756561228196;31-23-20-50-1-35-36-39-40-38-5-24-37-34-44-47-14-52-11-51-4-6-15-43-10-9-8-41-33-12-27-13-26-28-25-48-46-16-29-30-42-2-7-17-21-3-18-19-45-32-49-22-
3;10167.817122511382;11417.292974466582;31-23-20-50-1-35-36-39-40-38-5-24-37-34-44-47-14-52-11-51-4-6-15-43-10-9-8-41-33-12-27-13-26-28-25-48-46-16-29-30-42-2-7-17-21-3-18-19-45-32-49-22-
4;10167.817122511382;10601.896025366055;31-23-20-50-1-35-36-39-40-38-5-24-37-34-44-47-14-52-11-51-4-6-15-43-10-9-8-41-33-12-27-13-26-28-25-48-46-16-29-30-42-2-7-17-21-3-18-19-45-32-49-22-
5;10167.817122511382;10503.991651865299;31-23-20-50-1-35-36-39-40-38-5-24-37-34-44-47-14-52-11-51-4-6-15-43-10-9-8-41-33-12-27-13-26-28-25-48-46-16-29-30-42-2-7-17-21-3-18-19-45-32-49-22-
6;10167.817122511382;9067.302582653041;31-23-20-50-1-35-36-39-40-38-5-24-37-34-44-47-14-52-11-51-4-6-15-43-10-9-8-41-33-12-27-13-26-28-25-48-46-16-29-30-42-2-7-17-21-3-18-19-45-32-49-22-
7;9067.302582653041;10667.791208177749;33-48-46-16-47-26-28-27-13-14-52-11-51-12-25-4-6-38-40-39-1-22-30-29-50-20-23-31-21-42-7-2-17-18-3-41-9-10-8-19-45-32-49-35-36-34-44-37-24-5-15-43-
8;9067.302582653041;10461.131309493197;33-48-46-16-47-26-28-27-13-14-52-11-51-12-25-4-6-38-40-39-1-22-30-29-50-20-23-31-21-42-7-2-17-18-3-41-9-10-8-19-45-32-49-35-36-34-44-37-24-5-15-43-
9;9067.302582653041;9958.691128203338;33-48-46-16-47-26-28-27-13-14-52-11-51-12-25-4-6-38-40-39-1-22-30-29-50-20-23-31-21-42-7-2-17-18-3-41-9-10-8-19-45-32-49-35-36-34-44-37-24-5-15-43-
