;MELHOR GLOBAL;MELHOR LOCAL
197;144327.97076518793;144327.97076518793
198;141880.99237660939;141880.99237660939
199;142771.69965243596;142771.69965243596
200;142352.2736883623;142352.2736883623
201;144012.67009435256;144012.67009435256
202;139450.97437054623;139450.97437054623
203;141167.17682082433;141167.17682082433
204;143711.28150972858;143711.28150972858
205;141742.51325866868;141742.51325866868
206;136643.18686586674;136643.18686586674
207;129789.82893303757;129789.82893303757
208;132894.78809019018;132894.78809019018
209;131538.65115388428;131538.65115388428
210;138199.88987471885;138199.88987471885
211;134131.49390004715;134131.49390004715
212;132689.7904947181;132689.7904947181
213;134905.0126848999;134905.0126848999
214;134587.43966196792;134587.43966196792
215;136634.12913749478;136634.12913749478
216;140450.58602784752;140450.58602784752
217;140372.64995328904;140372.64995328904
218;138849.4736736094;138849.4736736094
219;136318.89686102016;136318.89686102016
220;135427.8419244586;135427.8419244586
221;135537.88028362067;135537.88028362067
222;134527.50787889728;134527.50787889728
223;140842.04600082577;140842.04600082577
224;139078.86923928355;139078.86923928355
225;137469.71618320077;137469.71618320077
226;138823.56611531827;138823.56611531827
227;141165.40402737737;141165.40402737737
228;136247.01059896513;136247.01059896513
229;133272.02567394983;133272.02567394983
230;133139.76699692826;133139.76699692826
231;136739.95313479417;136739.95313479417
232;134556.95543195933;134556.95543195933
233;136738.15900880346;136738.15900880346
234;136856.46666705408;136856.46666705408
235;138266.15769442744;138266.15769442744
236;137134.56446823696;137134.56446823696
237;143583.03210036134;143583.03210036134
238;142306.6203456295;142306.6203456295
239;144853.36533868307;144853.36533868307
240;145889.2317912265;145889.2317912265
241;145979.40740549826;145979.40740549826
242;145587.89867726804;145587.89867726804
243;145525.31612691339;145525.31612691339
244;144183.34961793828;144183.34961793828
245;139858.62362143124;139858.62362143124
246;153873.58493814172;153873.58493814172
247;157488.1262114285;157488.1262114285
248;164926.86262282578;164926.86262282578
249;158739.3425781387;158739.3425781387
250;158513.8192445093;158513.8192445093
251;157131.66461661118;157131.66461661118
252;156744.95859638124;156744.95859638124
253;156630.9754318663;156630.9754318663
254;154673.5269895536;154673.5269895536
255;163279.7103697284;163279.7103697284
256;155806.66006096365;155806.66006096365
257;155612.98744162347;155612.98744162347
258;154979.65305491615;154979.65305491615
259;154717.03790063914;154717.03790063914
260;161828.86888568097;161828.86888568097
261;163136.26323079667;163136.26323079667
262;161762.9734064059;161762.9734064059
263;157744.6480303727;157744.6480303727
264;157385.28564551627;157385.28564551627
265;149410.43917164384;149410.43917164384
266;148845.00323086878;148845.00323086878
267;143476.08829958123;143476.08829958123
268;147975.05481506017;147975.05481506017
269;149704.07448376523;149704.07448376523
270;142469.2024539161;142469.2024539161
271;143266.06253904357;143266.06253904357
272;127293.72707910417;127293.72707910417
273;133511.44790723026;133511.44790723026
274;140559.9730109416;140559.9730109416
275;135738.76935045648;135738.76935045648
276;129657.96576446305;129657.96576446305
277;134546.91026544996;134546.91026544996
278;135156.49427122314;135156.49427122314
279;135133.70223953697;135133.70223953697
280;134517.54105113194;134517.54105113194
281;142684.23303456543;142684.23303456543
282;137685.50514442305;137685.50514442305
283;136956.55494540033;136956.55494540033
284;133905.73928304118;133905.73928304118
285;143249.88125489507;143249.88125489507
286;144763.648666499;144763.648666499
287;128857.30731276616;128857.30731276616
288;126984.87388520093;126984.87388520093
289;125799.84179236279;125799.84179236279
290;125339.29092857809;125339.29092857809
291;124906.89412958975;124906.89412958975
292;123112.20451716548;123112.20451716548
293;131919.74363996927;131919.74363996927
294;136178.0164214019;136178.0164214019
295;131268.99501128998;131268.99501128998
296;141111.03826601416;141111.03826601416
297;145008.8580447878;145008.8580447878
298;145820.52598867196;145820.52598867196
299;144956.1477957579;144956.1477957579
300;138485.70244779973;138485.70244779973
301;142633.73712172842;142633.73712172842
302;142284.72480188453;142284.72480188453
303;141900.88774507388;141900.88774507388
304;140236.13773579136;140236.13773579136
305;140022.6415638992;140022.6415638992
306;139657.5908334377;139657.5908334377
307;133896.08238969222;133896.08238969222
308;130432.90739339365;130432.90739339365
309;132073.5643711544;132073.5643711544
310;137134.00317976426;137134.00317976426
311;133548.41739706157;133548.41739706157
312;130932.59571231522;130932.59571231522
313;131746.5178423014;131746.5178423014
314;135418.6772537969;135418.6772537969
315;132287.49288395655;132287.49288395655
316;128905.6393833037;128905.6393833037
317;135170.60719417362;135170.60719417362
318;134396.53820160383;134396.53820160383
319;130094.1703313262;130094.1703313262
320;128309.51009486098;128309.51009486098
321;131438.59931041754;131438.59931041754
322;137580.62292802837;137580.62292802837
323;137671.79959570995;137671.79959570995
324;134360.8085092411;134360.8085092411
325;131075.31606367102;131075.31606367102
