;MELHOR GLOBAL;MELHOR LOCAL;CAMINHO
13;1860.2887478211085;1872.5694479689953;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
14;1860.2887478211085;2157.467313409979;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
15;1860.2887478211085;2182.043177317869;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
16;1860.2887478211085;2139.9920995786715;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
17;1860.2887478211085;2366.502894980675;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
18;1860.2887478211085;2259.8496576568186;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
19;1860.2887478211085;1968.6435903745487;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
20;1860.2887478211085;2162.3510588753925;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
21;1860.2887478211085;2408.7129551387943;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
22;1860.2887478211085;2427.8521462944655;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
23;1860.2887478211085;1953.4921368088637;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
24;1860.2887478211085;2054.3871512197684;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
25;1860.2887478211085;1977.3204041604292;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
26;1860.2887478211085;2072.1099526300204;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
27;1860.2887478211085;2464.6196857156024;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
28;1860.2887478211085;2352.9536538030306;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
29;1860.2887478211085;2209.189835764097;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
30;1860.2887478211085;2189.4078865080696;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
31;1860.2887478211085;1909.2752325811057;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
32;1860.2887478211085;2353.384639719162;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
33;1860.2887478211085;2150.545535443435;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
34;1860.2887478211085;1983.217057647342;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
35;1860.2887478211085;1925.3788750692468;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
36;1860.2887478211085;2138.3161635871643;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
37;1860.2887478211085;2148.1437404533294;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
38;1860.2887478211085;2162.7533002101886;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
39;1860.2887478211085;1900.3883411551137;27-40-48-47-57-56-65-74-73-84-85-86-87-88-89-99-90-98-97-96-95-94-93-92-91-82-83-78-80-72-62-61-39-29-20-2-1-10-19-28-37-66-67-68-69-70-71-59-58-49-60-50-51-52-63-81-79-77-76-75-64-55-46-38-30-9-8-5-4-3-11-12-13-14-6-7-16-15-25-35-36-44-45-54-53-31-21-22-23-24-34-43-42-41-32-33-26-17-18-
