;MELHOR GLOBAL;MELHOR LOCAL;CAMINHO
24;41208.901024686114;45422.87038771156;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
25;41208.901024686114;50106.29059283618;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
26;41208.901024686114;50691.379109474896;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
27;41208.901024686114;57382.106563281;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
28;41208.901024686114;41145.847324879585;3-23-25-39-32-48-5-24-42-10-45-35-4-26-2-29-41-11-12-37-19-27-17-43-30-46-15-40-9-1-22-16-8-38-31-44-18-7-28-6-36-33-20-47-21-13-14-34-
29;41145.847324879585;52765.835700926196;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
30;41145.847324879585;50441.13733592483;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
31;41145.847324879585;45627.6620721902;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
32;41145.847324879585;52079.35229282237;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
33;41145.847324879585;54035.25357684652;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
34;41145.847324879585;43698.132680280214;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
35;41145.847324879585;58537.80918603877;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
36;41145.847324879585;54570.07909958378;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
37;41145.847324879585;52295.9453008207;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
38;41145.847324879585;43067.169729138484;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
39;41145.847324879585;48687.41528807944;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
40;41145.847324879585;48746.77037817257;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
41;41145.847324879585;47064.597105545756;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
42;41145.847324879585;51681.061323828;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
43;41145.847324879585;46611.75241501065;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
44;41145.847324879585;52947.51905538596;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
45;41145.847324879585;46350.85137569211;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
46;41145.847324879585;48578.22646728967;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
47;41145.847324879585;49704.660511910224;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
48;41145.847324879585;42284.02589653083;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
49;41145.847324879585;47981.13064276125;39-32-21-20-33-36-7-28-6-30-27-43-17-19-37-18-44-46-15-40-12-11-23-47-13-25-14-3-16-22-1-9-31-38-8-41-34-24-10-35-45-26-4-2-42-29-5-48-
