;MELHOR GLOBAL;MELHOR LOCAL
0;;10002.120490068657
1;10002.120490068657;9644.955972598838
2;9644.955972598838;11467.175332602015
3;9644.955972598838;10529.641678833344
4;9644.955972598838;11316.328935048345
5;9644.955972598838;11292.185089477223
6;9644.955972598838;9627.017492986228
7;9627.017492986228;10801.892220722342
8;9627.017492986228;11995.942482239125
9;9627.017492986228;9916.697724467642
10;9627.017492986228;11324.18453005637
11;9627.017492986228;10547.934555760303
12;9627.017492986228;10506.051183008076
13;9627.017492986228;10008.980949101246
14;9627.017492986228;10268.029510794278
15;9627.017492986228;10619.228821307925
16;9627.017492986228;10256.441207302742
17;9627.017492986228;11308.796310043777
18;9627.017492986228;9696.025103122054
19;9627.017492986228;10515.839424362484
20;9627.017492986228;10722.400583900151
21;9627.017492986228;10611.034685059107
22;9627.017492986228;10535.538818403582
23;9627.017492986228;10781.641844845308
24;9627.017492986228;11004.815363802281
25;9627.017492986228;10232.92884828849
26;9627.017492986228;12383.442165637798
27;9627.017492986228;11326.834459164253
28;9627.017492986228;10269.939280127845
29;9627.017492986228;10171.150062645786
30;9627.017492986228;11023.871945360228
31;9627.017492986228;11779.38934324912
32;9627.017492986228;11498.69500070747
33;9627.017492986228;10972.74347174541
34;9627.017492986228;10402.692013883277
35;9627.017492986228;10052.213432188462
36;9627.017492986228;9939.191941142244
37;9627.017492986228;9751.78913590112
38;9627.017492986228;11277.108019799249
39;9627.017492986228;10570.2897524167
40;9627.017492986228;10391.730199635625
41;9627.017492986228;10031.121931549149
42;9627.017492986228;10089.617592721925
43;9627.017492986228;10594.791794205357
44;9627.017492986228;11647.986500780087
45;9627.017492986228;9735.453737736756
46;9627.017492986228;10528.389081791582
47;9627.017492986228;11085.386456685057
48;9627.017492986228;11786.930406780337
49;9627.017492986228;11084.261162906045
